Data,Dia,Fundo inicial,Vendas dinheiro,Sangrias,Diferença,
11/04/2025, sex.,"R$ 350,00","R$ 360,31","R$ 640,70","R$ 69,61",
12/04/2025, sáb.,"R$ 350,00","R$ 1.014,89","R$ 1.364,90","-R$ 0,01",
14/04/2025, seg.,"R$ 350,00","R$ 141,00","R$ 491,00","R$ 0,00",
15/04/2025, ter.,"R$ 350,00","R$ 40,00","R$ 390,05","-R$ 0,05",
16/04/2025, qua.,"R$ 350,00","R$ 302,55","R$ 652,60","-R$ 0,05",
17/04/2025, qui.,"R$ 350,00","R$ 450,59","R$ 795,60","R$ 4,99",
18/04/2025, sex.,"R$ 350,60","R$ 285,00","R$ 624,60","R$ 11,00",
19/04/2025, sáb.,"R$ 324,60","R$ 1.101,75","R$ 1.426,25","R$ 0,10",
20/04/2025, dom.,"R$ 356,30","R$ 382,65","R$ 745,90","-R$ 6,95",
22/04/2025, ter.,"R$ 350,00","R$ 155,20","R$ 506,20","-R$ 1,00",
23/04/2025, qua.,"R$ 350,00","R$ 209,30","R$ 559,30","R$ 0,00",
24/04/2025, qui.,"R$ 350,00","R$ 30,00","R$ 379,95","R$ 0,05",
25/04/2025, sex.,"R$ 350,00","R$ 211,50","R$ 561,90","-R$ 0,40",
26/04/2025, sáb.,"R$ 350,00","R$ 842,85","R$ 1.257,60","-R$ 64,75",
28/04/2025, seg.,"R$ 350,00","R$ 149,20","R$ 499,20","R$ 0,00",
29/04/2025, ter.,"R$ 350,00","R$ 117,60","R$ 467,60","R$ 0,00",
30/04/2025, qua.,"R$ 350,00","R$ 656,45","R$ 1.006,45","R$ 0,00",
01/05/2025, qui.,"R$ 306,45","R$ 579,04","R$ 887,35","-R$ 1,86",
02/05/2025, sex.,"R$ 350,00","R$ 637,60","R$ 991,60","-R$ 4,00",
03/05/2025, sáb.,"R$ 350,00","R$ 1.098,05","R$ 1.449,05","-R$ 1,00",
05/05/2025, seg.,"R$ 350,00","R$ 48,40","R$ 350,00","R$ 48,40",
06/05/2025, ter.,"R$ 350,00","R$ 652,28","R$ 1.002,25","R$ 0,03",
07/05/2025, qua.,"R$ 350,00","R$ 118,70","R$ 468,70","R$ 0,00",
08/05/2025, qui.,"R$ 350,00","R$ 376,25","R$ 726,40","-R$ 0,15",
09/05/2025, sex.,"R$ 350,00","R$ 765,25","R$ 1.115,00","R$ 0,25",
10/05/2025, sáb.,"R$ 350,00","R$ 759,10","R$ 1.109,15","-R$ 0,05",
12/05/2025, seg.,"R$ 350,00","R$ 166,80","R$ 516,80","R$ 0,00",
13/05/2025, ter.,"R$ 350,00","R$ 0,00","R$ 350,00","R$ 0,00",
14/05/2025, qua.,"R$ 350,00","R$ 104,00","R$ 454,00","R$ 0,00",
15/05/2025, qui.,"R$ 350,00","R$ 274,50","R$ 620,50","R$ 4,00",
17/05/2025, sáb.,"R$ 350,00","R$ 984,05","R$ 1.333,10","R$ 0,95",
19/05/2025, seg.,"R$ 350,00","R$ 28,00","R$ 378,00","R$ 0,00",
20/05/2025, ter.,"R$ 350,00","R$ 0,00","R$ 350,10","-R$ 0,10",
21/05/2025, qua.,"R$ 350,00","R$ 0,00","R$ 350,00","R$ 0,00",
24/05/2025, sáb.,"R$ 350,00","R$ 1.349,60","R$ 1.699,60","R$ 0,00",
29/05/2025, qui.,"R$ 350,00","R$ 743,38","R$ 1.124,70","-R$ 31,32",
31/05/2025, sáb.,"R$ 350,00","R$ 556,85","R$ 908,85","-R$ 2,00",
