Data,Dia,Fundo inicial,Vendas dinheiro,Sangrias,Diferença,
18/05/2025, dom.,"R$ 150,00","R$ 69,00","R$ 150,00","R$ 69,00",NAO FOI VENDIDO NADA EM DINHEIRO
08/06/2025, dom.,"R$ 150,00","R$ 152,00","R$ 298,00","R$ 4,00",
15/06/2025, dom.,"R$ 150,00","R$ 0,00","R$ 150,00","R$ 0,00",
22/06/2025, dom.,"R$ 150,00","R$ 157,00","R$ 307,00","R$ 0,00",
29/06/2025, dom.,"R$ 150,00","R$ 68,00","R$ 218,00","R$ 0,00",
06/07/2025, dom.,"R$ 150,00","R$ 220,00","R$ 296,00","R$ 74,00","diferença 74,00"
13/07/2025, dom.,"R$ 150,00",,"R$ 286,00","-R$ 136,00",Estava sem sistema e não registrou nenhuma venda. 
20/07/2025, dom.,"R$ 150,00","R$ 0,00","R$ 150,00","R$ 0,00",
